timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532620361089,2007,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-105,text,false,,2225,0,10,63,0,0,2007
1532620361094,2008,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-107,text,false,,2225,0,10,63,0,0,2008
1532620362049,2018,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-102,text,false,,2225,0,10,66,0,0,2018
1532620362073,2010,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-106,text,false,,2225,0,10,66,0,0,2010
1532620362073,2010,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-104,text,false,,2225,0,10,66,0,0,2010
1532620362098,2001,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-110,text,false,,2225,0,10,67,0,0,2001
1532620362100,2002,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-108,text,false,,2225,0,10,67,0,0,2002
1532620363058,2011,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-101,text,false,,2225,0,10,70,0,0,2011
1532620363074,2010,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-103,text,false,,2225,0,10,70,0,0,2010
1532620363096,2001,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-105,text,false,,2225,0,10,70,0,0,2001
1532620363094,2005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-109,text,false,,2225,0,10,70,0,0,2005
1532620363102,2001,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-107,text,false,,2225,0,10,70,0,0,2001
1532620364067,2006,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-102,text,false,,2225,0,10,73,0,0,2006
1532620364083,2006,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-104,text,false,,2225,0,10,73,0,0,2006
1532620364083,2007,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-106,text,false,,2225,0,10,73,0,0,2006
1532620364099,2003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-110,text,false,,2225,0,10,73,0,0,2003
1532620364102,2010,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-108,text,false,,2225,0,10,73,0,0,2010
1532620365068,2007,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-101,text,false,,2225,0,17,83,0,0,2007
1532620365083,2006,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-103,text,false,,2225,0,18,85,0,0,2006
1532620365096,2000,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-105,text,false,,2225,0,19,86,0,0,2000
1532620365099,2003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-109,text,false,,2225,0,20,87,0,0,2003
1532620365102,2003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-107,text,false,,2225,0,20,87,0,0,2002
1532620366074,2005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-102,text,false,,2225,0,110,180,0,0,2005
1532620366090,2004,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-106,text,false,,2225,0,110,180,0,0,2004
1532620366090,2004,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-104,text,false,,2225,0,110,180,0,0,2004
1532620366103,2007,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-110,text,false,,2225,0,110,180,0,0,2007
1532620366113,2012,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-108,text,false,,2225,0,110,180,0,0,2012
1532620367011,2005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-100,text,false,,2225,0,110,183,0,0,2005
1532620367030,2017,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-98,text,false,,2225,0,109,182,0,0,2017
1532620367051,2012,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-96,text,false,,2225,0,108,181,0,0,2012
1532620367020,2043,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-99,text,false,,2225,0,108,181,0,0,2043
1532620367041,2022,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-97,text,false,,2225,0,108,181,0,0,2022
1532620367071,2023,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-94,text,false,,2225,0,105,178,0,0,2023
1532620367090,2004,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-103,text,false,,2225,0,105,178,0,0,2004
1532620367061,2033,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-95,text,false,,2225,0,105,178,0,0,2033
1532620367076,2034,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-101,text,false,,2225,0,103,176,0,0,2034
1532620367091,2019,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-92,text,false,,2225,0,103,176,0,0,2019
1532620367100,2026,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-91,text,false,,2225,0,102,175,0,0,2026
1532620367081,2046,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-93,text,false,,2225,0,102,175,0,0,2046
1532620367105,2022,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-107,text,false,,2225,0,102,175,0,0,2022
1532620367102,2024,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-109,text,false,,2225,0,102,175,0,0,2024
1532620367096,2033,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-105,text,false,,2225,0,101,174,0,0,2033
1532620367140,2001,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-87,text,false,,2225,0,100,173,0,0,2001
1532620367111,2030,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-90,text,false,,2225,0,100,173,0,0,2030
1532620367130,2011,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-88,text,false,,2225,0,100,173,0,0,2011
1532620367121,2021,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-89,text,false,,2225,0,99,172,0,0,2021
1532620367150,2007,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-86,text,false,,2225,0,96,169,0,0,2007
1532620367161,2027,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-85,text,false,,2225,0,95,168,0,0,2027
1532620367180,2024,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-83,text,false,,2225,0,94,168,0,0,2024
1532620367171,2033,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-84,text,false,,2225,0,94,168,0,0,2033
1532620367191,2028,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-82,text,false,,2225,0,92,166,0,0,2028
1532620367201,2034,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-81,text,false,,2225,0,91,165,0,0,2034
1532620367221,2029,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-79,text,false,,2225,0,90,164,0,0,2029
1532620367211,2039,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-80,text,false,,2225,0,90,164,0,0,2039
1532620367230,2020,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-78,text,false,,2225,0,90,164,0,0,2020
1532620367240,2026,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-77,text,false,,2225,0,87,161,0,0,2026
1532620367251,2031,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-76,text,false,,2225,0,86,160,0,0,2031
1532620367260,2022,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-75,text,false,,2225,0,86,160,0,0,2022
1532620367270,2027,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-74,text,false,,2225,0,84,158,0,0,2027
1532620367281,2016,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-73,text,false,,2225,0,84,158,0,0,2016
1532620367290,2007,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-72,text,false,,2225,0,84,158,0,0,2007
1532620367301,2028,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-71,text,false,,2225,0,81,155,0,0,2028
1532620367341,2003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-67,text,false,,2225,0,80,154,0,0,2003
1532620367321,2023,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-69,text,false,,2225,0,80,154,0,0,2023
1532620367311,2034,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-70,text,false,,2225,0,80,154,0,0,2034
1532620367352,2024,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-66,text,false,,2225,0,77,151,0,0,2024
1532620367331,2045,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-68,text,false,,2225,0,77,151,0,0,2045
1532620367371,2020,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-64,text,false,,2225,0,75,149,0,0,2020
1532620367361,2046,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-65,text,false,,2225,0,74,148,0,0,2046
